"product_key","segment","color","package_group","offers_available","farba_dekart_brand","farba_dekart_store","farba_dekart_package_kg","farba_dekart_regular_price","farba_dekart_unit_price_per_kg","farba_dekart_in_stock","farba_farbex_brand","farba_farbex_store","farba_farbex_package_kg","farba_farbex_regular_price","farba_farbex_unit_price_per_kg","farba_farbex_in_stock","farba_zebra_master_brand","farba_zebra_master_store","farba_zebra_master_package_kg","farba_zebra_master_regular_price","farba_zebra_master_unit_price_per_kg","farba_zebra_master_in_stock","lursan_fazenda_brand","lursan_fazenda_store","lursan_fazenda_package_kg","lursan_fazenda_regular_price","lursan_fazenda_unit_price_per_kg","lursan_fazenda_in_stock","lursan_korabelnaya_brand","lursan_korabelnaya_store","lursan_korabelnaya_package_kg","lursan_korabelnaya_regular_price","lursan_korabelnaya_unit_price_per_kg","lursan_korabelnaya_in_stock","mirremonta_dekart_brand","mirremonta_dekart_store","mirremonta_dekart_package_kg","mirremonta_dekart_regular_price","mirremonta_dekart_unit_price_per_kg","mirremonta_dekart_in_stock","mirremonta_farbex_brand","mirremonta_farbex_store","mirremonta_farbex_package_kg","mirremonta_farbex_regular_price","mirremonta_farbex_unit_price_per_kg","mirremonta_farbex_in_stock","best_offer","best_store","best_brand","best_package_kg","best_price","best_unit_price_per_kg","max_unit_saving","max_unit_saving_percent"
"pf115_economy","economy","Ярко-голубой","small","3","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","Fazenda","lursan.com","0.9","39","43,3333","True","","","","","","","DekArt","mirremonta.md","0.9","49","54,4444","True","","","","","","","lursan_fazenda","lursan.com","Fazenda","0.9","39","43,3333","11,1111","20,41"
"pf115_economy","economy","Ярко-зелёный","small","2","DekArt","farba.md","0.9","39,90","44,3333","True","","","","","","","","","","","","","","","","","","","","","","","","","DekArt","mirremonta.md","0.9","48","53,3333","True","","","","","","","farba_dekart","farba.md","DekArt","0.9","39,90","44,3333","9,0000","16,88"
"pf115_standard","standard","Бежевый","large","3","","","","","","","","","","","","","Zebra Master","farba.md","2.6","159,00","61,1538","True","","","","","","","Корабельная","lursan.com","2.8","160","57,1429","True","","","","","","","Farbex","mirremonta.md","2.8","158","56,4286","True","mirremonta_farbex","mirremonta.md","Farbex","2.8","158","56,4286","4,7252","7,73"
"pf115_standard","standard","Белоснежный","large","1","","","","","","","","","","","","","","","","","","","","","","","","","Корабельная","lursan.com","2.8","200","71,4286","True","","","","","","","","","","","","","lursan_korabelnaya","lursan.com","Корабельная","2.8","200","71,4286",,
"pf115_standard","standard","Белый","large","3","","","","","","","Farbex","farba.md","2.8","153,20","54,7143","True","","","","","","","","","","","","","Корабельная","lursan.com","2.8","180","64,2857","True","","","","","","","Farbex","mirremonta.md","2.8","195","69,6429","True","farba_farbex","farba.md","Farbex","2.8","153,20","54,7143","14,9286","21,44"
"pf115_standard","standard","Бирюзовый","large","4","","","","","","","Farbex","farba.md","2.8","156,98","56,0643","True","Zebra Master","farba.md","2.6","159,00","61,1538","True","","","","","","","Корабельная","lursan.com","2.8","160","57,1429","True","","","","","","","Farbex","mirremonta.md","2.8","165","58,9286","True","farba_farbex","farba.md","Farbex","2.8","156,98","56,0643","5,0895","8,32"
"pf115_standard","standard","Вишневый","large","2","","","","","","","","","","","","","","","","","","","","","","","","","Корабельная","lursan.com","2.8","150","53,5714","True","","","","","","","Farbex","mirremonta.md","2.8","172","61,4286","True","lursan_korabelnaya","lursan.com","Корабельная","2.8","150","53,5714","7,8572","12,79"
"pf115_standard","standard","Голубой","large","3","","","","","","","Farbex","farba.md","2.8","148,99","53,2107","True","","","","","","","","","","","","","Корабельная","lursan.com","2.8","160","57,1429","True","","","","","","","Farbex","mirremonta.md","2.8","168","60","True","farba_farbex","farba.md","Farbex","2.8","148,99","53,2107","6,7893","11,32"
"pf115_standard","standard","Желто-коричневый","large","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Farbex","mirremonta.md","2.8","159","56,7857","True","mirremonta_farbex","mirremonta.md","Farbex","2.8","159","56,7857",,
"pf115_standard","standard","Желтый","large","3","","","","","","","","","","","","","Zebra Master","farba.md","2.6","159,00","61,1538","True","","","","","","","Корабельная","lursan.com","2.8","170","60,7143","True","","","","","","","Farbex","mirremonta.md","2.8","179","63,9286","True","lursan_korabelnaya","lursan.com","Корабельная","2.8","170","60,7143","3,2143","5,03"
"pf115_standard","standard","Зелёный","large","3","","","","","","","","","","","","","Zebra Master","farba.md","2.6","159,00","61,1538","True","","","","","","","Корабельная","lursan.com","2.8","160","57,1429","True","","","","","","","Farbex","mirremonta.md","2.8","195","69,6429","True","lursan_korabelnaya","lursan.com","Корабельная","2.8","160","57,1429","12,5000","17,95"
"pf115_standard","standard","Изумрудный","large","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Farbex","mirremonta.md","2.8","188","67,1429","True","mirremonta_farbex","mirremonta.md","Farbex","2.8","188","67,1429",,
"pf115_standard","standard","Коричневый","large","3","","","","","","","","","","","","","Zebra Master","farba.md","2.6","159,00","61,1538","True","","","","","","","Корабельная","lursan.com","2.8","150","53,5714","True","","","","","","","Farbex","mirremonta.md","2.8","170","60,7143","True","lursan_korabelnaya","lursan.com","Корабельная","2.8","150","53,5714","7,5824","12,40"
"pf115_standard","standard","Красно-коричневый","large","2","","","","","","","","","","","","","Zebra Master","farba.md","2.6","159,00","61,1538","True","","","","","","","","","","","","","","","","","","","Farbex","mirremonta.md","2.8","155","55,3571","False","mirremonta_farbex","mirremonta.md","Farbex","2.8","155","55,3571","5,7967","9,48"
"pf115_standard","standard","Красный","large","3","","","","","","","","","","","","","Zebra Master","farba.md","2.6","159,00","61,1538","True","","","","","","","Корабельная","lursan.com","2.8","170","60,7143","True","","","","","","","Farbex","mirremonta.md","2.8","219","78,2143","True","lursan_korabelnaya","lursan.com","Корабельная","2.8","170","60,7143","17,5000","22,37"
"pf115_standard","standard","Лососевый","large","1","","","","","","","Farbex","farba.md","2.8","156,98","56,0643","True","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","farba_farbex","farba.md","Farbex","2.8","156,98","56,0643",,
"pf115_standard","standard","Малахит","large","1","","","","","","","","","","","","","Zebra Master","farba.md","2.6","159,00","61,1538","True","","","","","","","","","","","","","","","","","","","","","","","","","farba_zebra_master","farba.md","Zebra Master","2.6","159,00","61,1538",,
"pf115_standard","standard","Морская волна","large","2","","","","","","","","","","","","","","","","","","","","","","","","","Корабельная","lursan.com","2.8","160","57,1429","True","","","","","","","Farbex","mirremonta.md","2.8","159","56,7857","True","mirremonta_farbex","mirremonta.md","Farbex","2.8","159","56,7857","0,3572","0,63"
