"product_key","segment","color","package_group","rank","offer_key","store","brand","package_kg","regular_price","promo_price","unit_price_per_kg","in_stock","url"
"pf115_economy","economy","Темно-серый","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11299"
"pf115_economy","economy","Темно-серый","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-temno-seraja-09-up6sht.html"
"pf115_economy","economy","Темно-серый","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","48",,"53.3333","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Черный","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11320"
"pf115_economy","economy","Черный","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-chernaja-09-up6sht.html"
"pf115_economy","economy","Черный","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","45",,"50","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Шоколадный","small","1","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-shokoladnaja09-up6sht.html"
"pf115_economy","economy","Шоколадный","small","2","mirremonta_dekart","mirremonta.md","DekArt","0.9","46",,"51.1111","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Ярко-голубой","small","1","lursan_fazenda","lursan.com","Fazenda","0.9","39",,"43.3333","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11359"
"pf115_economy","economy","Ярко-голубой","small","2","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-jarko-golubaja-09-up6sht.html"
"pf115_economy","economy","Ярко-голубой","small","3","mirremonta_dekart","mirremonta.md","DekArt","0.9","49",,"54.4444","True","https://mirremonta.md/catalog/35644"
"pf115_economy","economy","Ярко-зелёный","small","1","farba_dekart","farba.md","DekArt","0.9","39.90","38.30","44.3333","True","https://farba.md/dekart--jemal-pph-115-jarko-zelenaja-09-up6sht.html"
"pf115_economy","economy","Ярко-зелёный","small","2","mirremonta_dekart","mirremonta.md","DekArt","0.9","48",,"53.3333","True","https://mirremonta.md/catalog/35644"
"pf115_standard","standard","Бежевый","large","1","mirremonta_farbex","mirremonta.md","Farbex","2.8","158",,"56.4286","True","https://mirremonta.md/catalog/35528"
"pf115_standard","standard","Бежевый","large","2","lursan_korabelnaya","lursan.com","Корабельная","2.8","160",,"57.1429","True","https://lursan.com/index.php?route=product/product&path=1107_1124_1126&product_id=10868"
"pf115_standard","standard","Бежевый","large","3","farba_zebra_master","farba.md","Zebra Master","2.6","159.00","152.60","61.1538","True","https://farba.md/jemal-pph-115-bezhevaja-universalnaja-26kg-zebra-serija-master-up6sht.html"
