"collected_at","product_key","segment","offer_key","store","brand","product","color_raw","color_normalized","package_kg","package_group","regular_price","promo_price","analysis_price","unit_price_per_kg","currency","in_stock","sku","article","variant_id","url"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Белая","Белый","2.8","large","120.05",,"120.05","42.875","PRB","True","","","10873","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10873"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Бирюзовая","Бирюзовый","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","10880","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10880"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Вишневая","Вишневый","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","10885","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10885"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Голубая","Голубой","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","10890","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10890"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Желто-коричневая","Желто-коричневый","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","10961","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10961"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Желтая","Желтый","2.8","large","109.5",,"109.5","39.1071","PRB","True","","","10959","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10959"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Зеленая","Зелёный","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","10973","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10973"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Изумрудная","Изумрудный","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","10975","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=10975"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Коричневая","Коричневый","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11027","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11027"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Красно-коричневая","Красно-коричневый","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11131","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11131"
"2026-07-26T14:31:25.7500876+00:00","pf115_economy","economy","lursan_fazenda","lursan.com","Fazenda","Эмаль ПФ-115","Красная","Красный","2.8","large","99.5",,"99.5","35.5357","PRB","True","","","11129","https://lursan.com/index.php?route=product/product&path=1107_1124_1125&product_id=11129"
